IPCC,UN,WMO,iso3_code,common_name,wikipedia_url,cpdb_url
IPCC,UN,"WMO State",PRY,Paraguay,https://en.wikipedia.org/wiki/Paraguay,https://www.wmo.int/cpdb/dashboard/paraguay
IPCC,UN,"WMO State",PER,Peru,https://en.wikipedia.org/wiki/Peru,https://www.wmo.int/cpdb/dashboard/peru
IPCC,UN,"WMO State",PHL,Philippines,https://en.wikipedia.org/wiki/Philippines,https://www.wmo.int/cpdb/dashboard/philippines
IPCC,UN,"WMO State",POL,Poland,https://en.wikipedia.org/wiki/Poland,https://www.wmo.int/cpdb/dashboard/poland
IPCC,UN,"WMO State",PRT,Portugal,https://en.wikipedia.org/wiki/Portugal,https://www.wmo.int/cpdb/dashboard/portugal
IPCC,UN,"WMO State",QAT,Qatar,https://en.wikipedia.org/wiki/Qatar,https://www.wmo.int/cpdb/dashboard/qatar
IPCC,UN,"WMO State",ROU,Romania,https://en.wikipedia.org/wiki/Romania,https://www.wmo.int/cpdb/dashboard/romania
IPCC,UN,"WMO State",RUS,Russia,https://en.wikipedia.org/wiki/Russia,https://www.wmo.int/cpdb/dashboard/russian-federation
IPCC,UN,"WMO State",RWA,Rwanda,https://en.wikipedia.org/wiki/Rwanda,https://www.wmo.int/cpdb/dashboard/rwanda
IPCC,UN,"WMO State",WSM,Samoa,https://en.wikipedia.org/wiki/Samoa,https://www.wmo.int/cpdb/dashboard/samoa
IPCC,UN,"WMO State",SAU,"Saudi Arabia",https://en.wikipedia.org/wiki/Saudi_Arabia,https://www.wmo.int/cpdb/dashboard/saudi-arabia
IPCC,UN,"WMO State",SEN,Senegal,https://en.wikipedia.org/wiki/Senegal,https://www.wmo.int/cpdb/dashboard/senegal
IPCC,UN,"WMO State",SRB,Serbia,https://en.wikipedia.org/wiki/Serbia,https://www.wmo.int/cpdb/dashboard/serbia
IPCC,UN,"WMO State",SYC,Seychelles,https://en.wikipedia.org/wiki/Seychelles,https://www.wmo.int/cpdb/dashboard/seychelles
IPCC,UN,"WMO State",SLE,"Sierra Leone",https://en.wikipedia.org/wiki/Sierra_Leone,https://www.wmo.int/cpdb/dashboard/sierra-leone
IPCC,UN,"WMO State",SGP,Singapore,https://en.wikipedia.org/wiki/Singapore,https://www.wmo.int/cpdb/dashboard/singapore
IPCC,UN,"WMO State",SVK,Slovakia,https://en.wikipedia.org/wiki/Slovakia,https://www.wmo.int/cpdb/dashboard/slovakia
IPCC,UN,"WMO State",SVN,Slovenia,https://en.wikipedia.org/wiki/Slovenia,https://www.wmo.int/cpdb/dashboard/slovenia
IPCC,UN,"WMO State",SLB,"Solomon Islands",https://en.wikipedia.org/wiki/Solomon_Islands,https://www.wmo.int/cpdb/dashboard/solomon-islands
IPCC,UN,"WMO State",SOM,Somalia,https://en.wikipedia.org/wiki/Somalia,https://www.wmo.int/cpdb/dashboard/somalia
IPCC,UN,"WMO State",ZAF,"South Africa",https://en.wikipedia.org/wiki/South_Africa,https://www.wmo.int/cpdb/dashboard/south-africa
IPCC,UN,"WMO State",KOR,"South Korea",https://en.wikipedia.org/wiki/South_Korea,https://www.wmo.int/cpdb/dashboard/republic-of-korea
IPCC,UN,"WMO State",SSD,"South Sudan",https://en.wikipedia.org/wiki/South_Sudan,https://www.wmo.int/cpdb/dashboard/south-sudan
IPCC,UN,"WMO State",ESP,Spain,https://en.wikipedia.org/wiki/Spain,https://www.wmo.int/cpdb/dashboard/spain
IPCC,UN,"WMO State",LKA,"Sri Lanka",https://en.wikipedia.org/wiki/Sri_Lanka,https://www.wmo.int/cpdb/dashboard/sri-lanka
IPCC,UN,"WMO State",LCA,"St. Lucia",https://en.wikipedia.org/wiki/Saint_Lucia,https://www.wmo.int/cpdb/dashboard/saint-lucia
