"ISO Country Code","English Country Name","French Country Name","Date of Membership","CPDB URL"
"KAZ","Kazakhstan","Kazakhstan","1993-05-05 00:00:00","https://www.wmo.int/cpdb/dashboard/kazakhstan"
"KEN","Kenya","Kenya","1964-06-02 00:00:00","https://www.wmo.int/cpdb/dashboard/kenya"
"KIR","Kiribati","Kiribati","2003-03-26 00:00:00","https://www.wmo.int/cpdb/dashboard/kiribati"
"KWT","Kuwait","Koweït","1962-12-01 00:00:00","https://www.wmo.int/cpdb/dashboard/kuwait"
"KGZ","Kyrgyzstan","Kirghizistan","1994-07-20 00:00:00","https://www.wmo.int/cpdb/dashboard/kyrgyzstan"
"LAO","Lao People's Democratic Republic","République démocratique populaire lao","1955-06-01 00:00:00","https://www.wmo.int/cpdb/dashboard/lao-people-s-democratic-republic"
"LVA","Latvia","Lettonie","1992-05-15 00:00:00","https://www.wmo.int/cpdb/dashboard/latvia"
"LBN","Lebanon","Liban","1948-12-22 00:00:00","https://www.wmo.int/cpdb/dashboard/lebanon"
"LSO","Lesotho","Lesotho","1979-08-03 00:00:00","https://www.wmo.int/cpdb/dashboard/lesotho"
"LBR","Liberia","Libéria","1974-02-07 00:00:00","https://www.wmo.int/cpdb/dashboard/liberia"
"LBY","Libya","Libye","1955-12-29 00:00:00","https://www.wmo.int/cpdb/dashboard/libya"
"LTU","Lithuania","Lituanie","1992-06-03 00:00:00","https://www.wmo.int/cpdb/dashboard/lithuania"
"LUX","Luxembourg","Luxembourg","1952-10-29 00:00:00","https://www.wmo.int/cpdb/dashboard/luxembourg"
"MAC","Macao, China","Macao, Chine","1996-01-24 00:00:00","https://www.wmo.int/cpdb/dashboard/macao-china"
"MDG","Madagascar","Madagascar","1960-12-15 00:00:00","https://www.wmo.int/cpdb/dashboard/madagascar"
"MWI","Malawi","Malawi","1965-02-15 00:00:00","https://www.wmo.int/cpdb/dashboard/malawi"
"MYS","Malaysia","Malaisie","1958-05-19 00:00:00","https://www.wmo.int/cpdb/dashboard/malaysia"
"MDV","Maldives","Maldives","1978-06-01 00:00:00","https://www.wmo.int/cpdb/dashboard/maldives"
"MLI","Mali","Mali","1960-11-11 00:00:00","https://www.wmo.int/cpdb/dashboard/mali"
"MLT","Malta","Malte","1976-12-28 00:00:00","https://www.wmo.int/cpdb/dashboard/malta"
