iso3_code,common_name,state_or_territory,wmo_member_since,cpdb_url
NOR,Norway,State,1948-12-09,https://www.wmo.int/cpdb/dashboard/norway
OMN,Oman,State,1975-01-03,https://www.wmo.int/cpdb/dashboard/oman
PAK,Pakistan,State,1950-04-11,https://www.wmo.int/cpdb/dashboard/pakistan
PAN,Panama,State,1967-09-12,https://www.wmo.int/cpdb/dashboard/panama
PNG,"Papua New Guinea",State,1975-12-15,https://www.wmo.int/cpdb/dashboard/papua-new-guinea
PRY,Paraguay,State,1950-09-15,https://www.wmo.int/cpdb/dashboard/paraguay
PER,Peru,State,1949-12-30,https://www.wmo.int/cpdb/dashboard/peru
PHL,Philippines,State,1949-04-05,https://www.wmo.int/cpdb/dashboard/philippines
POL,Poland,State,1950-05-16,https://www.wmo.int/cpdb/dashboard/poland
PRT,Portugal,State,1951-01-15,https://www.wmo.int/cpdb/dashboard/portugal
QAT,Qatar,State,1975-04-04,https://www.wmo.int/cpdb/dashboard/qatar
ROU,Romania,State,1948-08-18,https://www.wmo.int/cpdb/dashboard/romania
RUS,Russia,State,1948-04-02,https://www.wmo.int/cpdb/dashboard/russian-federation
RWA,Rwanda,State,1963-02-04,https://www.wmo.int/cpdb/dashboard/rwanda
WSM,Samoa,State,1995-07-11,https://www.wmo.int/cpdb/dashboard/samoa
SAU,"Saudi Arabia",State,1959-02-26,https://www.wmo.int/cpdb/dashboard/saudi-arabia
SEN,Senegal,State,1960-11-11,https://www.wmo.int/cpdb/dashboard/senegal
SRB,Serbia,State,2001-03-23,https://www.wmo.int/cpdb/dashboard/serbia
SYC,Seychelles,State,1977-02-15,https://www.wmo.int/cpdb/dashboard/seychelles
SLE,"Sierra Leone",State,1962-03-30,https://www.wmo.int/cpdb/dashboard/sierra-leone
SGP,Singapore,State,1966-01-24,https://www.wmo.int/cpdb/dashboard/singapore
SVK,Slovakia,State,1993-02-11,https://www.wmo.int/cpdb/dashboard/slovakia
SVN,Slovenia,State,1992-08-20,https://www.wmo.int/cpdb/dashboard/slovenia
SLB,"Solomon Islands",State,1985-05-06,https://www.wmo.int/cpdb/dashboard/solomon-islands
SOM,Somalia,State,1964-03-02,https://www.wmo.int/cpdb/dashboard/somalia
