line 466 column 1 - Warning: <table> lacks "summary" attribute
line 468 column 169 - Warning: <img> proprietary attribute "srcset"
line 468 column 169 - Warning: <img> proprietary attribute "data-file-width"
line 468 column 169 - Warning: <img> proprietary attribute "data-file-height"
line 476 column 1 - Warning: <table> lacks "summary" attribute
line 478 column 156 - Warning: <img> proprietary attribute "srcset"
line 478 column 156 - Warning: <img> proprietary attribute "data-file-width"
line 478 column 156 - Warning: <img> proprietary attribute "data-file-height"
line 486 column 1 - Warning: <table> lacks "summary" attribute
line 488 column 154 - Warning: <img> proprietary attribute "srcset"
line 488 column 154 - Warning: <img> proprietary attribute "data-file-width"
line 488 column 154 - Warning: <img> proprietary attribute "data-file-height"
line 496 column 1 - Warning: <table> lacks "summary" attribute
line 498 column 152 - Warning: <img> proprietary attribute "srcset"
line 498 column 152 - Warning: <img> proprietary attribute "data-file-width"
line 498 column 152 - Warning: <img> proprietary attribute "data-file-height"
line 508 column 1 - Warning: <table> lacks "summary" attribute
line 510 column 173 - Warning: <img> proprietary attribute "srcset"
line 510 column 173 - Warning: <img> proprietary attribute "data-file-width"
line 510 column 173 - Warning: <img> proprietary attribute "data-file-height"
line 518 column 1 - Warning: <table> lacks "summary" attribute
line 520 column 197 - Warning: <img> proprietary attribute "srcset"
line 520 column 197 - Warning: <img> proprietary attribute "data-file-width"
line 520 column 197 - Warning: <img> proprietary attribute "data-file-height"
line 528 column 1 - Warning: <table> lacks "summary" attribute
line 530 column 149 - Warning: <img> proprietary attribute "srcset"
line 530 column 149 - Warning: <img> proprietary attribute "data-file-width"
line 530 column 149 - Warning: <img> proprietary attribute "data-file-height"
line 538 column 1 - Warning: <table> lacks "summary" attribute
line 540 column 156 - Warning: <img> proprietary attribute "srcset"
line 540 column 156 - Warning: <img> proprietary attribute "data-file-width"
line 540 column 156 - Warning: <img> proprietary attribute "data-file-height"
line 550 column 1 - Warning: <table> lacks "summary" attribute
line 552 column 172 - Warning: <img> proprietary attribute "srcset"
line 552 column 172 - Warning: <img> proprietary attribute "data-file-width"
line 552 column 172 - Warning: <img> proprietary attribute "data-file-height"
line 560 column 1 - Warning: <table> lacks "summary" attribute
line 562 column 210 - Warning: <img> proprietary attribute "srcset"
line 562 column 210 - Warning: <img> proprietary attribute "data-file-width"
line 562 column 210 - Warning: <img> proprietary attribute "data-file-height"
line 570 column 1 - Warning: <table> lacks "summary" attribute
line 572 column 146 - Warning: <img> proprietary attribute "srcset"
line 572 column 146 - Warning: <img> proprietary attribute "data-file-width"
line 572 column 146 - Warning: <img> proprietary attribute "data-file-height"
line 580 column 1 - Warning: <table> lacks "summary" attribute
line 582 column 167 - Warning: <img> proprietary attribute "srcset"
line 582 column 167 - Warning: <img> proprietary attribute "data-file-width"
line 582 column 167 - Warning: <img> proprietary attribute "data-file-height"
line 592 column 1 - Warning: <table> lacks "summary" attribute
line 594 column 174 - Warning: <img> proprietary attribute "srcset"
line 594 column 174 - Warning: <img> proprietary attribute "data-file-width"
line 594 column 174 - Warning: <img> proprietary attribute "data-file-height"
line 602 column 1 - Warning: <table> lacks "summary" attribute
line 604 column 143 - Warning: <img> proprietary attribute "srcset"
line 604 column 143 - Warning: <img> proprietary attribute "data-file-width"
line 604 column 143 - Warning: <img> proprietary attribute "data-file-height"
line 612 column 1 - Warning: <table> lacks "summary" attribute
line 614 column 197 - Warning: <img> proprietary attribute "srcset"
line 614 column 197 - Warning: <img> proprietary attribute "data-file-width"
line 614 column 197 - Warning: <img> proprietary attribute "data-file-height"
