iso3_code,common_name,official_name,flag_image_path
TCD,Chad,"Republic of Chad",data/flag-of-chad.svg
CHL,Chile,"Republic of Chile",data/flag-of-chile.svg
CHN,China,"People's Republic of China","data/flag-of-the-people's-republic-of-china.svg"
COL,Colombia,"Republic of Colombia",data/flag-of-colombia.svg
COM,Comoros,"Union of the Comoros",data/flag-of-the-comoros.svg
COG,"Congo - Brazzaville","Republic of the Congo",data/flag-of-the-republic-of-the-congo.svg
COD,"Congo - Kinshasa","The Democratic Republic of the Congo",data/flag-of-the-democratic-republic-of-the-congo.svg
COK,"Cook Islands","Cook Islands",data/flag-of-the-cook-islands.svg
CRI,"Costa Rica","Republic of Costa Rica",data/flag-of-costa-rica.svg
HRV,Croatia,"Republic of Croatia",data/flag-of-croatia.svg
CUB,Cuba,"Republic of Cuba",data/flag-of-cuba.svg
CYP,Cyprus,"Republic of Cyprus",data/flag-of-cyprus.svg
CZE,"Czech Republic","Czech Republic",data/flag-of-the-czech-republic.svg
CIV,"Côte d’Ivoire","Republic of Côte d'Ivoire","data/flag-of-cote-d'ivoire.svg"
DNK,Denmark,"Kingdom of Denmark",data/flag-of-denmark.svg
DJI,Djibouti,"Republic of Djibouti",data/flag-of-djibouti.svg
DMA,Dominica,"Commonwealth of Dominica",data/flag-of-dominica.svg
DOM,"Dominican Republic","Dominican Republic",data/flag-of-the-dominican-republic.svg
ECU,Ecuador,"Republic of Ecuador",data/flag-of-ecuador.svg
EGY,Egypt,"Arab Republic of Egypt",data/flag-of-egypt.svg
SLV,"El Salvador","Republic of El Salvador",data/flag-of-el-salvador.svg
GNQ,"Equatorial Guinea","Republic of Equatorial Guinea",data/flag-of-equatorial-guinea.svg
ERI,Eritrea,"the State of Eritrea",data/flag-of-eritrea.svg
EST,Estonia,"Republic of Estonia",data/flag-of-estonia.svg
ETH,Ethiopia,"Federal Democratic Republic of Ethiopia",data/flag-of-ethiopia.svg
FJI,Fiji,"Republic of Fiji",data/flag-of-fiji.svg
FIN,Finland,"Republic of Finland",data/flag-of-finland.svg
FRA,France,"French Republic",data/flag-of-france.svg
GAB,Gabon,"Gabonese Republic",data/flag-of-gabon.svg
GMB,Gambia,"Republic of the Gambia",data/flag-of-the-gambia.svg
GEO,Georgia,Georgia,data/flag-of-georgia.svg
DEU,Germany,"Federal Republic of Germany",data/flag-of-germany.svg
GHA,Ghana,"Republic of Ghana",data/flag-of-ghana.svg
GRC,Greece,"Hellenic Republic",data/flag-of-greece.svg
GRD,Grenada,Grenada,data/flag-of-grenada.svg
GTM,Guatemala,"Republic of Guatemala",data/flag-of-guatemala.svg
GIN,Guinea,"Republic of Guinea",data/flag-of-guinea.svg
GNB,Guinea-Bissau,"Republic of Guinea-Bissau",data/flag-of-guinea-bissau.svg
GUY,Guyana,"Republic of Guyana",data/flag-of-guyana.svg
HTI,Haiti,"Republic of Haiti",data/flag-of-haiti.svg
HND,Honduras,"Republic of Honduras",data/flag-of-honduras.svg
HUN,Hungary,Hungary,data/flag-of-hungary.svg
ISL,Iceland,"Republic of Iceland",data/flag-of-iceland.svg
IND,India,"Republic of India",data/flag-of-india.svg
IDN,Indonesia,"Republic of Indonesia",data/flag-of-indonesia.svg
IRN,Iran,"Islamic Republic of Iran",data/flag-of-iran.svg
IRQ,Iraq,"Republic of Iraq",data/flag-of-iraq.svg
IRL,Ireland,Ireland,data/flag-of-ireland.svg
ISR,Israel,"State of Israel",data/flag-of-israel.svg
ITA,Italy,"Italian Republic",data/flag-of-italy.svg
JAM,Jamaica,Jamaica,data/flag-of-jamaica.svg
JPN,Japan,Japan,data/flag-of-japan.svg
JOR,Jordan,"Hashemite Kingdom of Jordan",data/flag-of-jordan.svg
KAZ,Kazakhstan,"Republic of Kazakhstan",data/flag-of-kazakhstan.svg
KEN,Kenya,"Republic of Kenya",data/flag-of-kenya.svg
KIR,Kiribati,"Republic of Kiribati",data/flag-of-kiribati.svg
KWT,Kuwait,"State of Kuwait",data/flag-of-kuwait.svg
KGZ,Kyrgyzstan,"Kyrgyz Republic",data/flag-of-kyrgyzstan.svg
LAO,Laos,"Lao People's Democratic Republic",data/flag-of-laos.svg
LVA,Latvia,"Republic of Latvia",data/flag-of-latvia.svg
LBN,Lebanon,"Lebanese Republic",data/flag-of-lebanon.svg
LSO,Lesotho,"Kingdom of Lesotho",data/flag-of-lesotho.svg
LBR,Liberia,"Republic of Liberia",data/flag-of-liberia.svg
LBY,Libya,Libya,data/flag-of-libya.svg
LIE,Liechtenstein,"Principality of Liechtenstein",data/flag-of-liechtenstein.svg
LTU,Lithuania,"Republic of Lithuania",data/flag-of-lithuania.svg
LUX,Luxembourg,"Grand Duchy of Luxembourg",data/flag-of-luxembourg.svg
MKD,Macedonia,"The Former Yugoslav Republic of Macedonia",data/flag-of-macedonia.svg
MDG,Madagascar,"Republic of Madagascar",data/flag-of-madagascar.svg
MWI,Malawi,"Republic of Malawi",data/flag-of-malawi.svg
MYS,Malaysia,Malaysia,data/flag-of-malaysia.svg
MDV,Maldives,"Republic of Maldives",data/flag-of-maldives.svg
MLI,Mali,"Republic of Mali",data/flag-of-mali.svg
MLT,Malta,"Republic of Malta",data/flag-of-malta.svg
MHL,"Marshall Islands","Republic of the Marshall Islands",data/flag-of-the-marshall-islands.svg
MRT,Mauritania,"Islamic Republic of Mauritania",data/flag-of-mauritania.svg
MUS,Mauritius,"Republic of Mauritius",data/flag-of-mauritius.svg
MEX,Mexico,"United Mexican States",data/flag-of-mexico.svg
FSM,Micronesia,"Federated States of Micronesia",data/flag-of-the-federated-states-of-micronesia.svg
MDA,Moldova,"Republic of Moldova",data/flag-of-moldova.svg
MCO,Monaco,"Principality of Monaco",data/flag-of-monaco.svg
MNG,Mongolia,Mongolia,data/flag-of-mongolia.svg
MNE,Montenegro,Montenegro,data/flag-of-montenegro.svg
MAR,Morocco,"Kingdom of Morocco",data/flag-of-morocco.svg
MOZ,Mozambique,"Republic of Mozambique",data/flag-of-mozambique.svg
MMR,"Myanmar (Burma)","Republic of Myanmar",data/flag-of-myanmar.svg
NAM,Namibia,"Republic of Namibia",data/flag-of-namibia.svg
NRU,Nauru,"Republic of Nauru",data/flag-of-nauru.svg
NPL,Nepal,"Federal Democratic Republic of Nepal",data/flag-of-nepal.svg
NLD,Netherlands,"Kingdom of the Netherlands",data/flag-of-the-netherlands.svg
NZL,"New Zealand","New Zealand",data/flag-of-new-zealand.svg
NIC,Nicaragua,"Republic of Nicaragua",data/flag-of-nicaragua.svg
NER,Niger,"Republic of the Niger",data/flag-of-niger.svg
NGA,Nigeria,"Federal Republic of Nigeria",data/flag-of-nigeria.svg
NIU,Niue,Niue,data/flag-of-niue.svg
PRK,"North Korea","Democratic People's Republic of Korea",data/flag-of-north-korea.svg
NOR,Norway,"Kingdom of Norway",data/flag-of-norway.svg
OMN,Oman,"Sultanate of Oman",data/flag-of-oman.svg
PAK,Pakistan,"Islamic Republic of Pakistan",data/flag-of-pakistan.svg
PLW,Palau,"Republic of Palau",data/flag-of-palau.svg
PAN,Panama,"Republic of Panama",data/flag-of-panama.svg
PNG,"Papua New Guinea","Independent State of Papua New Guinea",data/flag-of-papua-new-guinea.svg
PRY,Paraguay,"Republic of Paraguay",data/flag-of-paraguay.svg
PER,Peru,"Republic of Peru",data/flag-of-peru.svg
PHL,Philippines,"Republic of the Philippines",data/flag-of-the-philippines.svg
POL,Poland,"Republic of Poland",data/flag-of-poland.svg
PRT,Portugal,"Portuguese Republic",data/flag-of-portugal.svg
QAT,Qatar,"State of Qatar",data/flag-of-qatar.svg
ROU,Romania,Romania,data/flag-of-romania.svg
RUS,Russia,"Russian Federation",data/flag-of-russia.svg
RWA,Rwanda,"Rwandese Republic",data/flag-of-rwanda.svg
WSM,Samoa,"Independent State of Samoa",data/flag-of-samoa.svg
SMR,"San Marino","Republic of San Marino",data/flag-of-san-marino.svg
SAU,"Saudi Arabia","Kingdom of Saudi Arabia",data/flag-of-saudi-arabia.svg
SEN,Senegal,"Republic of Senegal",data/flag-of-senegal.svg
SRB,Serbia,"Republic of Serbia",data/flag-of-serbia.svg
SYC,Seychelles,"Republic of Seychelles",data/flag-of-seychelles.svg
SLE,"Sierra Leone","Republic of Sierra Leone",data/flag-of-sierra-leone.svg
SGP,Singapore,"Republic of Singapore",data/flag-of-singapore.svg
SVK,Slovakia,"Slovak Republic",data/flag-of-slovakia.svg
SVN,Slovenia,"Republic of Slovenia",data/flag-of-slovenia.svg
SLB,"Solomon Islands","Solomon Islands",data/flag-of-the-solomon-islands.svg
SOM,Somalia,"Federal Republic of Somalia",data/flag-of-somalia.svg
ZAF,"South Africa","Republic of South Africa",data/flag-of-south-africa.svg
KOR,"South Korea","Republic of Korea",data/flag-of-south-korea.svg
SSD,"South Sudan","Republic of South Sudan",data/flag-of-south-sudan.svg
ESP,Spain,"Kingdom of Spain",data/flag-of-spain.svg
LKA,"Sri Lanka","Democratic Socialist Republic of Sri Lanka",data/flag-of-sri-lanka.svg
KNA,"St. Kitts & Nevis","Saint Kitts and Nevis",data/flag-of-saint-kitts-and-nevis.svg
LCA,"St. Lucia","Saint Lucia",data/flag-of-saint-lucia.svg
VCT,"St. Vincent & Grenadines","Saint Vincent and the Grenadines",data/flag-of-saint-vincent-and-the-grenadines.svg
SDN,Sudan,"Republic of the Sudan",data/flag-of-sudan.svg
SUR,Suriname,"Republic of Suriname",data/flag-of-suriname.svg
SWZ,Swaziland,"Kingdom of Swaziland",data/flag-of-swaziland.svg
SWE,Sweden,"Kingdom of Sweden",data/flag-of-sweden.svg
CHE,Switzerland,"Swiss Confederation",data/flag-of-switzerland.svg
SYR,Syria,"Syrian Arab Republic",data/flag-of-syria.svg
STP,"São Tomé & Príncipe","Democratic Republic of Sao Tome and Principe",data/flag-of-sao-tome-and-principe.svg
TJK,Tajikistan,"Republic of Tajikistan",data/flag-of-tajikistan.svg
TZA,Tanzania,"United Republic of Tanzania",data/flag-of-tanzania.svg
THA,Thailand,"Kingdom of Thailand",data/flag-of-thailand.svg
TLS,Timor-Leste,"Democratic Republic of Timor-Leste",data/flag-of-east-timor.svg
TGO,Togo,"Togolese Republic",data/flag-of-togo.svg
TON,Tonga,"Kingdom of Tonga",data/flag-of-tonga.svg
TTO,"Trinidad & Tobago","Republic of Trinidad and Tobago",data/flag-of-trinidad-and-tobago.svg
TUN,Tunisia,"Republic of Tunisia",data/flag-of-tunisia.svg
TUR,Turkey,"Republic of Turkey",data/flag-of-turkey.svg
TKM,Turkmenistan,Turkmenistan,data/flag-of-turkmenistan.svg
TUV,Tuvalu,Tuvalu,data/flag-of-tuvalu.svg
UGA,Uganda,"Republic of Uganda",data/flag-of-uganda.svg
UKR,Ukraine,Ukraine,data/flag-of-ukraine.svg
ARE,"United Arab Emirates","United Arab Emirates",data/flag-of-the-united-arab-emirates.svg
GBR,"United Kingdom","United Kingdom of Great Britain and Northern Ireland",data/flag-of-the-united-kingdom.svg
USA,"United States","United States of America",data/flag-of-the-united-states.svg
URY,Uruguay,"Eastern Republic of Uruguay",data/flag-of-uruguay.svg
UZB,Uzbekistan,"Republic of Uzbekistan",data/flag-of-uzbekistan.svg
VUT,Vanuatu,"Republic of Vanuatu",data/flag-of-vanuatu.svg
VEN,Venezuela,"Bolivarian Republic of Venezuela",data/flag-of-venezuela-state.svg
VNM,Vietnam,"Socialist Republic of Viet Nam",data/flag-of-vietnam.svg
YEM,Yemen,"Republic of Yemen",data/flag-of-yemen.svg
ZMB,Zambia,"Republic of Zambia",data/flag-of-zambia.svg
ZWE,Zimbabwe,"Republic of Zimbabwe",data/flag-of-zimbabwe.svg
